Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Kenoargentotetrahedrite-(Fe),Ag6(Cu4Fe2)Sb4S12[box],"Ag6(Cu4Fe2)Sb4S12 ",Kattr-Fe,
Kenorozhdestvenskayaite-(Fe),Ag6(Ag4Fe2)Sb4S12[box],"Ag6(Ag4Fe2)Sb4S12 ",Kroz-Fe,
Kerimasite,Ca3Zr2(SiFe3+2)O12,Ca3Zr2(SiFe2)O12,Kms,
Kernowite,Cu2Fe3+(AsO4)(OH)4·4H2O,Cu2Fe(AsO4)(OH)4·4H2O,Knw,
Keystoneite,Mg0.5NiFe3+(Te4+O3)3·4H2O,Mg0.5NiFe(TeO3)3·4H2O,Kys,
Kharaelakhite,"(Cu,Pt,Pb,Fe,Ni)9S8","(Cu,Pt,Pb,Fe,Ni)9S8",Klh,
Khesinite,Ca4(Mg2Fe3+10)O4(Fe3+10Si2)O36,Ca4(Mg2Fe10)O4(Fe10Si2)O36,Khe,
Khomyakovite,"Na12Sr3Ca6Fe3Zr3W(Si25O73)(O,OH,H2O)3(Cl,OH)2","Na12Sr3Ca6Fe3Zr3W(Si25O73)(O,OH,H2O)3(Cl,OH)2",Kmy,
Khrenovite,Na3Fe3+2(AsO4)3,Na3Fe2(AsO4)3,Khr,
Kidwellite,NaFe3+9+x(PO4)6(OH)11·3H2O (x ≈ 0.33),NaFex(PO4)6(OH)11·3H2O (x ≈ 0.33),Kdw,
Kingsmountite,Ca3MnFe2+Al4(PO4)6(OH)4·12H2O,Ca3MnFeAl4(PO4)6(OH)4·12H2O,Kmo,
Kinichilite,Mg0.5Mn2+Fe3+(Te4+O3)3·4.5H2O,Mg0.5MnFe(TeO3)3·4.5H2O,Kni,
Kintoreite,PbFe3+3(PO4)(PO3OH)(OH)6,PbFe3(PO4)(PO3OH)(OH)6,Kt,
Kirschsteinite,CaFe2+(SiO4),CaFe(SiO4),Kir,
Kleberite,Fe3+Ti6O11(OH)5,FeTi6O11(OH)5,Kbr,
Klochite,(Fe2+Fe3+)[box]2KZn3(Si12O30),(FeFe) 2KZn3(Si12O30),Klö,Fe4KZn3(Si12O30)
Klyuchevskite,K3Cu3Fe3+O2(SO4)4,K3Cu3FeO2(SO4)4,Kyv,
Kobellite,"Pb11(Cu,Fe)2(Bi,Sb)15S35","Pb11(Cu,Fe)2(Bi,Sb)15S35",Kbl,
Koksharovite,CaMg2Fe3+4(VO4)6,CaMg2Fe4(VO4)6,Kok,
Kolfanite,Ca2Fe3+3O2(AsO4)3·2H2O,Ca2Fe3O2(AsO4)3·2H2O,Kfn,
Kolitschite,"Pb[Zn0.5,[box]0.5]Fe3(AsO4)2(OH)6","Pb[Zn0.5, 0.5]Fe3(AsO4)2(OH)6",Klt,
Kollerite,(NH4)2Fe3+(SO3)2(OH)·H2O,(NH4)2Fe(SO3)2(OH)·H2O,Klr,
Koninckite,Fe3+(PO4)·3H2O,Fe(PO4)·3H2O,Kon,
Kornelite,Fe3+2(SO4)3·7H2O (?),Fe2(SO4)3·7H2O (?),Knl,
Kornerupine,"(Mg,Fe2+,Al,[box])10(Si,Al,B)5O21(OH,F)2","(Mg,Fe,Al, )10(Si,Al,B)5O21(OH,F)2",Krn,
Kozlowskiite,Ca4Fe2+Sn3(Si2O7)2(Si2O6OH)2,Ca4FeSn3(Si2O7)2(Si2O6OH)2,Kzw,
Kraisslite,"Zn3(Mn,Mg)25(Fe3+,Al)(As3+O3)2[(Si,As5+)O4]10(OH)16","Zn3(Mn,Mg)25(Fe,Al)(AsO3)2[(Si,As)O4]10(OH)16",Ksl,
Krausite,KFe3+(SO4)2·H2O,KFe(SO4)2·H2O,Ksi,
Kreiterite,CsLi2Fe3+Si4O10F2,CsLi2FeSi4O10F2,Kre,
Kremersite,(NH4)2Fe3+Cl5·H2O,(NH4)2FeCl5·H2O,Km,
Kryachkoite,"(Al,Cu)6(Fe,Cu)","(Al,Cu)6(Fe,Cu)",Kyh,
Kryzhanovskite,"(Fe3+,Mn2+)3(PO4)2(OH,H2O)3","(Fe,Mn)3(PO4)2(OH,H2O)3",Kry,
Kudryavtsevaite,Na3MgFe3+Ti4O12,Na3MgFeTi4O12,Kud,
Kulanite,BaFe2+2Al2(PO4)3(OH)3,BaFe2Al2(PO4)3(OH)3,Kul,
Kuliginite,Fe3Mg(OH)6Cl2,Fe3Mg(OH)6Cl2,Klg,
Kummerite,Mn2+Fe3+Al(PO4)2(OH)2·8H2O,MnFeAl(PO4)2(OH)2·8H2O,Kum,
Kunatite,CuFe3+2(PO4)2(OH)2·4H2O,CuFe2(PO4)2(OH)2·4H2O,Kun,
Kupcikite,Cu3.4Fe0.6Bi5S10,Cu3.4Fe0.6Bi5S10,Kup,
Kuratite,Ca2(Fe2+5Ti)O2[Si4Al2O18],Ca2(Fe5Ti)O2[Si4Al2O18],Kur,
Laachite,"(Ca,Mn)2Zr2Nb2TiFeO14","(Ca,Mn)2Zr2Nb2TiFeO14",Laa,
Labuntsovite-Fe,Na4K4Fe2+2Ti8O4(Si4O12)4(OH)4·10-12H2O,Na4K4Fe2Ti8O4(Si4O12)4(OH)4·10-12H2O,Lab-Fe,
Labyrinthite,"(Na,K,Sr)35Ca12Fe3Zr6TiSi51O144(O,OH,H2O)9Cl3","(Na,K,Sr)35Ca12Fe3Zr6TiSi51O144(O,OH,H2O)9Cl3",Lby,
Laihunite,"(Fe3+,Fe2+,[box])2(SiO4)","(Fe,Fe, )2(SiO4)",Lai,
Lakebogaite,NaCaFe2H(UO2)2(PO4)4(OH)2·8H2O,NaCaFe2H(UO2)2(PO4)4(OH)2·8H2O,Lbg,
Landauite,"(Na,Pb)(Mn2+,Y)(Zn,Fe)2(Ti,Fe3+,Nb)18(O,OH,F)O38","(Na,Pb)(Mn,Y)(Zn,Fe)2(Ti,Fe,Nb)18(O,OH,F)O38",Lda,
Landesite,Mn2+9Fe3+3(PO4)8(OH)3·9H2O,Mn9Fe3(PO4)8(OH)3·9H2O,Lds,
Laptevite-(Ce),NaFe2+(REE7Ca5Y3)(SiO4)4(Si3B2PO18)(BO3)F11,NaFe(REE7Ca5Y3)(SiO4)4(Si3B2PO18)(BO3)F11,Lpt-Ce,
Lasnierite,"(Ca,Sr)(Mg,Fe2+)2Al(PO4)3","(Ca,Sr)(Mg,Fe)2Al(PO4)3",Lnr,
Latrappite,Ca2NbFe3+O6,Ca2NbFeO6,Ltp,
Laueite,Mn2+Fe3+2(PO4)2(OH)2·8H2O,MnFe2(PO4)2(OH)2·8H2O,Lae,
Lausenite,Fe3+2(SO4)3·5H2O,Fe2(SO4)3·5H2O,Lse,
Lavenite,"(Na,Ca)4(Mn2+,Fe2+)2(Zr,Ti,Nb)2(Si2O7)2(O,F)4","(Na,Ca)4(Mn,Fe)2(Zr,Ti,Nb)2(Si2O7)2(O,F)4",Låv,
Lawrencite,FeCl2,FeCl2,Law,"(Fe2+,Ni)Cl2"
Lazarenkoite,CaFe3+As3+3O7·3H2O,CaFeAs3O7·3H2O,Laz,
Lefontite,Fe2Al2Be(PO4)2(OH)6,Fe2Al2Be(PO4)2(OH)6,Lef,
Lenaite,AgFeS2,AgFeS2,Ln,
Lennilenapeite,"K7(Mg,Mn2+,Fe2+,Zn)48(Si,Al)72(O,OH)216·16H2O","K7(Mg,Mn,Fe,Zn)48(Si,Al)72(O,OH)216·16H2O",Lnl,
Lepageite,Mn2+3(Fe3+7Fe2+4)O3[Sb3+5As3+8O34],Mn3(Fe7Fe4)O3[Sb5As8O34],Lep,
Lepidocrocite,Fe3+O(OH),FeO(OH),Lpc,γ-FeOOH,γ-FeO(OH)
Leucophosphite,KFe3+2(PO4)2(OH)·2H2O,KFe2(PO4)2(OH)·2H2O,Lpp,
Leydetite,Fe(UO2)(SO4)2·11H2O,Fe(UO2)(SO4)2·11H2O,Ley,
Lileyite,Ba2Ti2Na2Fe2+Mg(Si2O7)2O2F2,Ba2Ti2Na2FeMg(Si2O7)2O2F2,Lly,
Lindqvistite,Pb2Mn2+Fe3+16O27,Pb2MnFe16O27,Lqv,
Lindsleyite,"(Ba,Sr)(Zr,Ca)(Fe,Mg)2(Ti,Cr,Fe)18O38","(Ba,Sr)(Zr,Ca)(Fe,Mg)2(Ti,Cr,Fe)18O38",Ldy,
Linzhiite,FeSi2,FeSi2,Lzh,
Lipscombite,Fe2+Fe3+2(PO4)2(OH)2,FeFe2(PO4)2(OH)2,Lcb,Fe3(PO4)2(OH)2
Liraite,NaCa2Mn2+2[Fe3+Fe2+]Mn2+2(PO4)6(H2O)2,NaCa2Mn2[FeFe]Mn2(PO4)6(H2O)2,Lir,NaCa2Mn2Fe2Mn2(PO4)6(H2O)2
Lishizhenite,ZnFe3+2(SO4)4·14H2O,ZnFe2(SO4)4·14H2O,Lsh,
Liskeardite,"(Al,Fe)32(AsO4)18(OH)42(H2O)22·52H2O","(Al,Fe)32(AsO4)18(OH)42(H2O)22·52H2O",Lsk,
Liuite,FeTiO3,FeTiO3,Liu,
Lobanovite,K2Na(Fe2+4Mg2Na)Ti2(Si4O12)2O2(OH)4,K2Na(Fe4Mg2Na)Ti2(Si4O12)2O2(OH)4,Lbv,
Lollingite,FeAs2,FeAs2,Lö,
Lonecreekite,(NH4)Fe3+(SO4)2·12H2O,(NH4)Fe(SO4)2·12H2O,Lck,
Loveringite,"(Ca,Ce,La)(Zr,Fe)(Mg,Fe)2(Ti,Fe,Cr,Al)18O38","(Ca,Ce,La)(Zr,Fe)(Mg,Fe)2(Ti,Fe,Cr,Al)18O38",Lvg,
Lucchesiite,CaFe2+3Al6(Si6O18)(BO3)3(OH)3O,CaFe3Al6(Si6O18)(BO3)3(OH)3O,Lcc,
Ludlamite,Fe2+3(PO4)2·4H2O,Fe3(PO4)2·4H2O,Lud,
Ludlockite,PbFe3+4As3+10O22,PbFe4As10O22,Ldl,
Ludwigite,Mg2Fe3+O2(BO3),Mg2FeO2(BO3),Ldw,
Lukrahnite,"CaCuFe3+(AsO4)2(OH,H2O)2","CaCuFe(AsO4)2(OH,H2O)2",Lkr,
Lulzacite,Sr2Fe2+3Al4(PO4)4(OH)10,Sr2Fe3Al4(PO4)4(OH)10,Lul,
Luobusaite,Fe0.84Si2,Fe0.84Si2,Luo,
Luogufengite,Fe2O3,Fe2O3,Lgf,ε-Fe2O3
Lyonsite,Cu2+3Fe3+4(VO4)6,Cu3Fe4(VO4)6,Lyo,
Macaulayite,Fe3+24Si4O43(OH)2,Fe24Si4O43(OH)2,Mcy,
Mackayite,Fe3+Te4+2O5(OH),FeTe2O5(OH),Mky,
Mackinawite,"(Fe,Ni)1+xS","(Fe,Ni)xS",Mkw,"(Fe,Ni)9S8",FeS
Madeiraite,Na2Ca2Fe2Zr2(Si2O7)2O2F2,Na2Ca2Fe2Zr2(Si2O7)2O2F2,Mde,
Magbasite,KBaFe3+Mg7Si8O22(OH)2F6,KBaFeMg7Si8O22(OH)2F6,Mgb,
Magganasite,CuFe3+3O(AsO4)3,CuFe3O(AsO4)3,Mgg,
Maghagendorfite,Na2MgFe2+Fe3+(PO4)3,Na2MgFeFe(PO4)3,Mhag,Na2MgFe2(PO4)3
Maghemite,(Fe3+0.67[box]0.33)Fe3+2O4,(Fe0.67 0.33)Fe2O4,Mgh,γ-Fe2O3,
Magnanelliite,K3Fe3+2(SO4)4(OH)(H2O)2,K3Fe2(SO4)4(OH)(H2O)2,Mgn,
Magnesioalterite,Mg2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O,Mg2Fe4(SO4)4(C2O4)2(OH)4·17H2O,Matr,
Magnesio-arfvedsonite,NaNa2(Mg4Fe3+)Si8O22(OH)2,NaNa2(Mg4Fe)Si8O22(OH)2,Marf,
Magnesiobeltrandoite-2N3S,(Mg6Al2)(Al18Fe3+2)O38(OH)2,(Mg6Al2)(Al18Fe2)O38(OH)2,Mbt-2N3S,
Magnesiocopiapite,MgFe3+4(SO4)6(OH)2·20H2O,MgFe4(SO4)6(OH)2·20H2O,Mcpi,
Magnesio-ferri-fluoro-hornblende,[box]Ca2(Mg4Fe3+)(Si7Al)O22F2," Ca2(Mg4Fe)(Si7Al)O22F2",Mffhbl,
Magnesio-ferri-hornblende,Ca2(Mg4Fe3+)[(Si7Al)O22](OH)2,Ca2(Mg4Fe)[(Si7Al)O22](OH)2,Mfhbl,
Magnesioferrite,MgFe3+2O4,MgFe2O4,Mfr,
Magnesio-fluoro-arfvedsonite,NaNa2(Mg4Fe3+)Si8O22F2,NaNa2(Mg4Fe)Si8O22F2,Mfarf,
Magnesio-fluoro-hastingsite,NaCa2(Mg4Fe3+)(Si6Al2)O22F2,NaCa2(Mg4Fe)(Si6Al2)O22F2,Mfhst,
Magnesio-hastingsite,NaCa2(Mg4Fe3+)(Si6Al2)O22(OH)2,NaCa2(Mg4Fe)(Si6Al2)O22(OH)2,Mhst,
Magnesiohatertite,NaNaCa(MgFe3+)(AsO4)3,NaNaCa(MgFe)(AsO4)3,Mhtt,
Magnesiohogbomite-2N2S,"(Mg,Fe,Al,Ti)22(O,OH)32","(Mg,Fe,Al,Ti)22(O,OH)32",Mhög-2N2S,
Magnesiohogbomite-2N3S,"(Mg,Fe,Zn,Ti)4(Al,Fe)10O19(OH)","(Mg,Fe,Zn,Ti)4(Al,Fe)10O19(OH)",Mhög-2N3S,
Magnesiohogbomite-2N4S,[(Mg8.43Fe2+1.57)Σ=10Al22Ti4+2O46(OH)2],[(Mg8.43Fe1.57)Al22Ti2O46(OH)2],Mhög-2N4S,
Magnesiohogbomite-6N6S,"(Mg,Al,Fe)3(Al,Ti)8O15(OH)","(Mg,Al,Fe)3(Al,Ti)8O15(OH)",Mhög-6N6S,
Magnesiohulsite,Mg2Fe3+O2(BO3),Mg2FeO2(BO3),Mhul,
Magnesioneptunite,"KNa2Li(Mg,Fe)2Ti2Si8O24","KNa2Li(Mg,Fe)2Ti2Si8O24",Mnpt,
Magnesionigerite-6N6S,"(Mg,Al,Zn)3(Al,Sn,Fe)8O15(OH)","(Mg,Al,Zn)3(Al,Sn,Fe)8O15(OH)",Mgng-6N6S,
Magnesio-riebeckite,[box]Na2(Mg3Fe3+2)Si8O22(OH)2," Na2(Mg3Fe2)Si8O22(OH)2",Mrbk,
Magnesiorowlandite-(Y),"Y4(Mg,Fe)(Si2O7)2F2","Y4(Mg,Fe)(Si2O7)2F2",Mrow-Y,
Magnesiovoltaite,K2Mg5Fe3+3Al(SO4)12·18H2O,K2Mg5Fe3Al(SO4)12·18H2O,Mvlt,
Magnetite,Fe2+Fe3+2O4,FeFe2O4,Mag,Fe3O4
Magnetoplumbite,PbFe3+12O19,PbFe12O19,Mpl,
Maikainite,Cu10Fe3MoGe3S16,Cu10Fe3MoGe3S16,Mai,
Makarochkinite,Ca4[Fe2+8Fe3+2Ti2]O4[Si8Be2Al2O36],Ca4[Fe8Fe2Ti2]O4[Si8Be2Al2O36],Mkr,
Malhmoodite,Fe2+Zr(PO4)2·4H2O,FeZr(PO4)2·4H2O,Mmo,
Manaevite-(Ce),"Ca11(Ce,H2O,Ca)8Mg(Al,Fe)4(Mg,Ti,Fe3+)8[Si2O7]4[(SiO4)8(H4O4)2](OH)9","Ca11(Ce,H2O,Ca)8Mg(Al,Fe)4(Mg,Ti,Fe)8[Si2O7]4[(SiO4)8(H4O4)2](OH)9",Mv-Ce,
Mandarinoite,Fe3+2(Se4+O3)3·6H2O,Fe2(SeO3)3·6H2O,Mda,
Maneckiite,(Na[box])Ca2Fe2+2(Fe3+Mg)Mn2(PO4)6·2H2O,(Na )Ca2Fe2(FeMg)Mn2(PO4)6·2H2O,Mnc,
Manganbabingtonite,Ca2Mn2+Fe3+Si5O14(OH),Ca2MnFeSi5O14(OH),Mbab,
Manganflurlite,ZnMn2+3Fe3+(PO4)3(OH)2(H2O)7·2H2O,ZnMn3Fe(PO4)3(OH)2(H2O)7·2H2O,Mflu,
Manganilvaite,CaFe2+Fe3+Mn2+(Si2O7)O(OH),CaFeFeMn(Si2O7)O(OH),Mlv,CaFe2Mn(Si2O7)O(OH)
Manganoarrojadite-(KNa),KNa5MnFe13Al(PO4)11(PO3OH)(OH)2,KNa5MnFe13Al(PO4)11(PO3OH)(OH)2,Majd-KNa,
Manganobadalovite,NaNaMn(MgFe3+)(AsO4)3,NaNaMn(MgFe)(AsO4)3,Mbdl,
Mangano-ferri-eckermannite,NaNa2(Mn2+4Fe3+)Si8O22(OH)2,NaNa2(Mn4Fe)Si8O22(OH)2,Mfeck,
Manganosegelerite,Mn2+2Fe3+(PO4)2(OH)·4H2O,Mn2Fe(PO4)2(OH)·4H2O,Msgl,
Maohokite,MgFe2O4,MgFe2O4,Mhk,
Maoniupingite-(Ce),"(Ce,Ca)4(Fe3+,Ti,Fe2+,[box])(Ti,Fe3+,Fe2+,Nb)4Si4O22","(Ce,Ca)4(Fe,Ti,Fe, )(Ti,Fe,Fe,Nb)4Si4O22",Mao-Ce,
Mapimite,Zn2Fe3+3(AsO4)3(OH)4·10H2O,Zn2Fe3(AsO4)3(OH)4·10H2O,Mpm,
Mapiquiroite,"(Sr,Pb)(U,Y)Fe2(Ti,Fe3+)18O38","(Sr,Pb)(U,Y)Fe2(Ti,Fe)18O38",Mpq,
Marcasite,FeS2,FeS2,Mrc,
Mariakrite,[Ca4Al2(OH)12(H2O)4][Fe2S4],[Ca4Al2(OH)12(H2O)4][Fe2S4],Mari,
Maricite,NaFe2+(PO4),NaFe(PO4),Mrć,
Marinaite,Cu2Fe3+O2(BO3),Cu2FeO2(BO3),Mr,
Mathewrogersite,"Pb7FeAl3GeSi12O36(OH,H2O)6","Pb7FeAl3GeSi12O36(OH,H2O)6",Mwg,
Mathiasite,"(K,Ba,Sr)(Zr,Fe)(Mg,Fe)2(Ti,Cr,Fe)18O38","(K,Ba,Sr)(Zr,Fe)(Mg,Fe)2(Ti,Cr,Fe)18O38",Mts,
Matulaite,Fe3+Al7(PO4)4(PO3OH)2(OH)8(H2O)8·8H2O,FeAl7(PO4)4(PO3OH)2(OH)8(H2O)8·8H2O,Mat,
Matyhite,Ca9(Ca0.5[box]0.5)Fe2+(PO4)7,Ca9(Ca0.5 0.5)Fe(PO4)7,Myh,
Mawbyite,PbFe3+2(AsO4)2(OH)2,PbFe2(AsO4)2(OH)2,Mby,
Mawsonite,Cu6Fe2SnS8,Cu6Fe2SnS8,Maw,
Maxwellite,NaFe3+(AsO4)F,NaFe(AsO4)F,Max,
Mcauslanite,Fe2+3Al2(PO4)3(PO3OH)F·18H2O,Fe3Al2(PO4)3(PO3OH)F·18H2O,Mas,
Mcgovernite,"Zn3(Mn2+,Mg,Fe3+,Al)42(As3+O3)2(As5+O4)4[(Si,As5+)O4]8(OH)42","Zn3(Mn,Mg,Fe,Al)42(AsO3)2(AsO4)4[(Si,As)O4]8(OH)42",Mgv,
Medenbachite,Bi2Fe3+Cu2+(AsO4)2O(OH)3,Bi2FeCu(AsO4)2O(OH)3,Mdb,
Meifuite,KFe6(Si7Al)O19(OH)4Cl2,KFe6(Si7Al)O19(OH)4Cl2,Mf,
Melanarsite,K3Cu7Fe3+O4(AsO4)4,K3Cu7FeO4(AsO4)4,Mea,
Melanostibite,"Mn2+(Sb5+,Fe3+)O3","Mn(Sb,Fe)O3",Mlsb,
Melanotekite,Pb2Fe3+2O2(Si2O7),Pb2Fe2O2(Si2O7),Mtk,
Melanterite,Fe(SO4)·7H2O,Fe(SO4)·7H2O,Mln,FeSO4·7H2O
Melkovite,CaFe3+2Mo5O10(PO4)2(OH)12·8H2O,CaFe2Mo5O10(PO4)2(OH)12·8H2O,Mko,
Melliniite,"(Ni,Fe)4P","(Ni,Fe)4P",Mli,
Melonjosephite,CaFe2+Fe3+(PO4)2(OH),CaFeFe(PO4)2(OH),Mjo,CaFe2(PO4)2(OH)
Mendozavilite-KCa,[K2(H2O)15Ca(H2O)6][Mo8P2Fe3+3O34(OH)3],[K2(H2O)15Ca(H2O)6][Mo8P2Fe3O34(OH)3],Mdz-KCa,
Mendozavilite-NaCu,[Na2(H2O)15Cu(H2O)6][Mo8P2Fe3+3O34(OH)3],[Na2(H2O)15Cu(H2O)6][Mo8P2Fe3O34(OH)3],Mdz-NaCu,
Mendozavilite-NaFe,[Na2(H2O)15Fe3+(H2O)6][Mo8P2Fe3+3O35(OH)2],[Na2(H2O)15Fe(H2O)6][Mo8P2Fe3O35(OH)2],Mdz-NaFe,
Mereiterite,K2Fe2+(SO4)2·4H2O,K2Fe(SO4)2·4H2O,Mtr,
Merrihueite,"(K,Na)2(Fe2+,Mg)5Si12O30","(K,Na)2(Fe,Mg)5Si12O30",Mhu,
Messelite,Ca2Fe2+(PO4)2·2H2O,Ca2Fe(PO4)2·2H2O,Msl,
Metahohmannite,Fe3+2O(SO4)2·4H2O,Fe2O(SO4)2·4H2O,Mhoh,
Metakahlerite,Fe2+(UO2)2(AsO4)2·8H2O,Fe(UO2)2(AsO4)2·8H2O,Mkah,
Metakottigite,"(Zn,Fe3+)3(AsO4)2·8(H2O,OH)","(Zn,Fe)3(AsO4)2·8(H2O,OH)",Mköt,
Metasideronatrite,Na2Fe3+(SO4)2(OH)·H2O,Na2Fe(SO4)2(OH)·H2O,Mnat,
Metatamboite,Fe3+3(OH)(H2O)2(SO4)(Te4+O3)3[Te4+O(OH)2](H2O),Fe3(OH)(H2O)2(SO4)(TeO3)3[TeO(OH)2](H2O),Mtm,
Metavauxite,Fe2+Al2(PO4)2(OH)2·8H2O,FeAl2(PO4)2(OH)2·8H2O,Mvx,
Metavivianite,Fe2+Fe3+2(PO4)2(OH)2·6H2O,FeFe2(PO4)2(OH)2·6H2O,Mviv,Fe3(PO4)2(OH)2·6H2O
Metavoltine,K2Na6Fe2+Fe3+6O2(SO4)12·18H2O,K2Na6FeFe6O2(SO4)12·18H2O,Mvt,K2Na6Fe7O2(SO4)12·18H2O
Meurigite-K,KFe3+8(PO4)6(OH)7·6.5H2O,KFe8(PO4)6(OH)7·6.5H2O,Meu-K,
Meurigite-Na,[Na(H2O)2.5][Fe3+8(PO4)6(OH)7(H2O)4],[Na(H2O)2.5][Fe8(PO4)6(OH)7(H2O)4],Meu-Na,
Mianningite,"([box],Pb,Ce,Na)(U4+,Mn,U6+)Fe3+2(Ti,Fe3+)18O38","( ,Pb,Ce,Na)(U,Mn,U)Fe2(Ti,Fe)18O38",Min,
Michalskiite,Cu2+Mg3Fe3+3.33(VO4)6,CuMg3Fe3.33(VO4)6,Mcs,
Miharaite,PbCu4FeBiS6,PbCu4FeBiS6,Mih,
Mikasaite,Fe3+2(SO4)3,Fe2(SO4)3,Mik,
Mikehowardite,Fe3+4(V5+O4)4(H2O)2·H2O,Fe4(VO4)4(H2O)2·H2O,Mhw,
Milanriederite,"(Ca,REE)19Fe3+Al4(Mg,Al,Fe3+)8Si18O68(OH,O)10","(Ca,REE)19FeAl4(Mg,Al,Fe)8Si18O68(OH,O)10",Mlrd,
Minguzzite,K3Fe3+(C2O4)3·3H2O,K3Fe(C2O4)3·3H2O,Mzz,
Minnesotaite,Fe2+3Si4O10(OH)2,Fe3Si4O10(OH)2,Mns,
Mitridatite,Ca2Fe3+3O2(PO4)3·3H2O,Ca2Fe3O2(PO4)3·3H2O,Mit,
Moabite,NiFe3+(PO4)O,NiFe(PO4)O,Mab,
Mogovidite,"Na9(Ca,Na)12Fe2Zr3Si25O72(CO3)(OH)4","Na9(Ca,Na)12Fe2Zr3Si25O72(CO3)(OH)4",Mgo,
Mohrite,(NH4)2Fe2+(SO4)2·6H2O,(NH4)2Fe(SO4)2·6H2O,Mhr,
Molysite,FeCl3,FeCl3,My,
Montdorite,"KFe2+1.5Mn2+0.5Mg0.5Si4O10(F,OH)2","KFe1.5Mn0.5Mg0.5Si4O10(F,OH)2",Mdr,
Monteneveite,Ca3Sb5+2(Fe3+2Fe2+)O12,Ca3Sb2(Fe2Fe)O12,Mtv,
Montroseite,"(V3+,Fe2+,V4+)O(OH)","(V,Fe,V)O(OH)",Mto,
Mooihoekite,Cu9Fe9S16,Cu9Fe9S16,Mho,
Morimotoite,Ca3(TiFe2+)(SiO4)3,Ca3(TiFe)(SiO4)3,Mmt,
Mossbauerite,Fe3+6O4(OH)8(CO3)·3H2O,Fe6O4(OH)8(CO3)·3H2O,Msb,
Mounanaite,PbFe3+2(VO4)2(OH)2,PbFe2(VO4)2(OH)2,Mun,
Mountkeithite,"(Mg1-xFe3+x)(SO4)x/2(OH)2·nH2O (x < 0.5, n > 3x/2)",(Mg1-xFex)(SO4)x/2(OH)2·nH2O,Mke,
Mullerite,Pb2Fe3+(Te6+O6)Cl,Pb2Fe(TeO6)Cl,Mül,
Murashkoite,FeP,FeP,Muh,
Murataite-(Y),"(Y,Na)6Zn(Zn,Fe3+)4(Ti,Nb,Na)12O29(O,F,OH)10F4","(Y,Na)6Zn(Zn,Fe)4(Ti,Nb,Na)12O29(O,F,OH)10F4",Mrat-Y,
Murunskite,"K2(Cu,Fe)4S4","K2(Cu,Fe)4S4",Mu,
Muskoxite,Mg7Fe3+4(OH)26·H2O (?),Mg7Fe4(OH)26·H2O (?),Mkx,
Nabateaite,Fe2P2O7,Fe2P2O7,,
Nafeasite,Na3Fe3+3(AsO3OH)6·3H2O,Na3Fe3(AsO3OH)6·3H2O,Nfa,
Nafertisite,Na3Fe2+10Ti2(Si6O17)2O2(OH)6F(H2O)2,Na3Fe10Ti2(Si6O17)2O2(OH)6F(H2O)2,Naf,
Nalivkinite,Li2NaFe2+7Ti2(Si4O12)2O2(OH)4F(H2O)2,Li2NaFe7Ti2(Si4O12)2O2(OH)4F(H2O)2,Nlv,
Nanlingite,Na(Ca5Li)Mg12(AsO3)2[Fe2+(AsO3)6]F14,Na(Ca5Li)Mg12(AsO3)2[Fe(AsO3)6]F14,Nan,
Naquite,FeSi,FeSi,Naq,
Narsarsukite,"Na2(Ti,Fe3+)Si4(O,F)11","Na2(Ti,Fe)Si4(O,F)11",Nar,
Nataliakulikite,"Ca4Ti2(Fe3+,Fe2+)(Si,Fe3+,Al)O11","Ca4Ti2(Fe,Fe)(Si,Fe,Al)O11",Nkk,
Natanite,Fe2+Sn4+(OH)6,FeSn(OH)6,Ntn,
Natrodufrenite,NaFe2+Fe3+5(PO4)4(OH)6·2H2O,NaFeFe5(PO4)4(OH)6·2H2O,Ndf,NaFe6(PO4)4(OH)6·2H2O
Natrojarosite,NaFe3+3(SO4)2(OH)6,NaFe3(SO4)2(OH)6,Njrs,
Natropharmacosiderite,Na2Fe3+4(AsO4)3(OH)5·7H2O,Na2Fe4(AsO4)3(OH)5·7H2O,Npsd,
Natrowalentaite,[Fe3+0.5Na0.5(H2O)6][NaAs3+2(Fe3+2.33W6+0.67)(PO4)2O7],[Fe0.5Na0.5(H2O)6][NaAs2(Fe2.33W0.67)(PO4)2O7],Nwal,
Naujakasite,Na6Fe2+Al4Si8O26,Na6FeAl4Si8O26,Nj,
Navajoite,"(V5+,Fe3+)10O24·12H2O","(V,Fe)10O24·12H2O",Nvj,
Nazarchukite,Ca2NiFe3+2(PO4)4,Ca2NiFe2(PO4)4,Nzr,
Nealite,Pb4Fe(AsO3)2Cl4·2H2O,Pb4Fe(AsO3)2Cl4·2H2O,Nea,
Neotocite,"(Mn,Fe)SiO3·H2O (?)","(Mn,Fe)SiO3·H2O (?)",Neo,
Neptunite,KNa2LiFe2+2Ti2Si8O24,KNa2LiFe2Ti2Si8O24,Npt,
Neskevaaraite-Fe,"NaK3Fe(Ti,Nb)4(Si4O12)2(O,OH)4·6H2O","NaK3Fe(Ti,Nb)4(Si4O12)2(O,OH)4·6H2O",Nsv-Fe,
