Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Beaverite-(Cu),Pb(Fe3+2Cu)(SO4)2(OH)6,Pb(Fe2Cu)(SO4)2(OH)6,Bvr-Cu,
Beaverite-(Zn),Pb(Fe3+2Zn)(SO4)2(OH)6,Pb(Fe2Zn)(SO4)2(OH)6,Bvr-Zn,
Bederite,Ca2Mn2+4Fe3+2(PO4)6·2H2O,Ca2Mn4Fe2(PO4)6·2H2O,Bdr,
Beershevaite,CaFe3+3(PO4)3O,CaFe3(PO4)3O,,
Benauite,SrFe3+3(PO4)(PO3OH)(OH)6,SrFe3(PO4)(PO3OH)(OH)6,Bnu,
Bendadaite,Fe2+Fe3+2(AsO4)2(OH)2·4H2O,FeFe2(AsO4)2(OH)2·4H2O,Bdd,Fe3(AsO4)2(OH)2·4H2O
Bennesherite,Ba2Fe2+Si2O7,Ba2FeSi2O7,Bnh,
Benyacarite,KTiMn2+2Fe3+2(PO4)4OF·15H2O,KTiMn2Fe2(PO4)4OF·15H2O,Byc,
Beraunite,Fe3+6(PO4)4O(OH)4·6H2O,Fe6(PO4)4O(OH)4·6H2O,Bru,
Bernalite,Fe(OH)3,Fe(OH)3,Bnl,
Berthierine,"(Fe2+,Fe3+,Al)3(Si,Al)2O5(OH)4","(Fe,Fe,Al)3(Si,Al)2O5(OH)4",Brh,
Berthierite,FeSb2S4,FeSb2S4,Btr,
Betekhtinite,"(Cu,Fe)21Pb2S15","(Cu,Fe)21Pb2S15",Bkh,
Betpakdalite-CaCa,[Ca2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O36(OH)],[Ca2(H2O)17Ca(H2O)6][Mo8As2Fe3O36(OH)],Bpd-CaCa,
Betpakdalite-CaMg,[Ca2(H2O)17Mg(H2O)6][Mo6+8As5+2Fe3+3O36(OH)],[Ca2(H2O)17Mg(H2O)6][Mo8As2Fe3O36(OH)],Bpd-CaMg,
Betpakdalite-FeFe,[Fe3+2(H2O)15(OH)2Fe3+(H2O)6][Mo8As2Fe3+3O37],[Fe2(H2O)15(OH)2Fe(H2O)6][Mo8As2Fe3O37],Bpd-FeFe,
Betpakdalite-NaCa,[Na2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O34(OH)3],[Na2(H2O)17Ca(H2O)6][Mo8As2Fe3O34(OH)3],Bpd-NaCa,
Betpakdalite-NaNa,[Na2(H2O)16Na(H2O)6][Mo6+8As5+2Fe3+3O33(OH)4],[Na2(H2O)16Na(H2O)6][Mo8As2Fe3O33(OH)4],Bpd-NaNa,
Beudantite,PbFe3+3(AsO4)(SO4)(OH)6,PbFe3(AsO4)(SO4)(OH)6,Bdn,
Bilinite,Fe2+Fe3+2(SO4)4·22H2O,FeFe2(SO4)4·22H2O,Bli,Fe3(SO4)4·22H2O
Bimbowrieite,NaMgFe3+5(PO4)4(OH)6·2H2O,NaMgFe5(PO4)4(OH)6·2H2O,Bbw,
Biraite-(Ce),Ce2Fe2+(Si2O7)(CO3),Ce2Fe(Si2O7)(CO3),Bia-Ce,
Biraite-(La),La2Fe2+(CO3)(Si2O7),La2Fe(CO3)(Si2O7),Bia-La,
Bismutoferrite,Fe3+2Bi(SiO4)2(OH),Fe2Bi(SiO4)2(OH),Bif,
Bismutostibiconite,"(Bi,Fe3+,[box])2Sb5+2O7","(Bi,Fe, )2Sb2O7",Bsbc,
Bixbyite-(Fe),Fe3+2O3,Fe2O3,,β-Fe2O3,"(Fe,Mn)2O3"
Blakeite,Fe3+2(Te4+O3)3 (?),Fe2(TeO3)3 (?),Bak,
Bobfergusonite,[box]Na2Mn2+5Fe3+Al(PO4)6," Na2Mn5FeAl(PO4)6",Bfg,
Bogdanovite,"(Au,Te,Pb)3(Cu,Fe)","(Au,Te,Pb)3(Cu,Fe)",Bog,
Bohuslavite,Fe3+4(PO4)3(SO4)(OH)·<i>n</i>H2O (15≤<i>n</i>≤24),Fe4(PO4)3(SO4)(OH)·nH2O,Bhv,
Bokite,"(Al,Fe)1.3(V5+,V4+,Fe3+)8O20·7.5H2O","(Al,Fe)1.3(V,V,Fe)8O20·7.5H2O",Bkt,
Bonaccordite,Ni2Fe3+O2(BO3),Ni2FeO2(BO3),Bna,
Bonshtedtite,Na3Fe2+(PO4)(CO3),Na3Fe(PO4)(CO3),Bsd,
Bornite,Cu5FeS4,Cu5FeS4,Bn,
Borodaevite,"Ag4.83Fe0.21Pb0.45(Bi,Sb)8.84S16","Ag4.83Fe0.21Pb0.45(Bi,Sb)8.84S16",Bdv,
Bosiite,NaFe3+3(Al4Mg2)(Si6O18)(BO3)3(OH)3O,NaFe3(Al4Mg2)(Si6O18)(BO3)3(OH)3O,Bos,
Botryogen,MgFe3+(SO4)2(OH)·7H2O,MgFe(SO4)2(OH)·7H2O,Byg,
Botuobinskite,SrFe2+(Ti4+12Cr3+6)Mg2[O36(OH)2],SrFe(Ti12Cr6)Mg2[O36(OH)2],Btb,
Bouazzerite,"Bi6(Mg,Co)11Fe14(AsO4)18O12(OH)4·86H2O","Bi6(Mg,Co)11Fe14(AsO4)18O12(OH)4·86H2O",Boz,
